leaves,trees,l2_leaf_reg,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
4.0,600.0,4.0,0.05,3.0,0.8195,0.3353,0.177
8.0,600.0,6.0,0.05,3.0,0.8168,0.3065,0.177
10.0,1000.0,6.0,0.07,3.0,0.857,0.2899,0.177
10.0,600.0,15.0,0.07,3.0,0.8308,0.2813,0.177
8.0,500.0,4.0,0.03,3.0,0.7626,0.2793,0.177
6.0,400.0,6.0,0.11,3.0,0.8389,0.2723,0.177
10.0,1000.0,2.0,0.07,3.0,0.8582,0.2656,0.177
4.0,1000.0,4.0,0.01,3.0,0.7281,0.2647,0.177
4.0,1400.0,15.0,0.05,3.0,0.8525,0.2611,0.177
4.0,60.0,15.0,0.05,2.0,0.6606,0.2527,0.1657
10.0,900.0,4.0,0.11,3.0,0.8664,0.2468,0.177
8.0,300.0,10.0,0.13,3.0,0.8278,0.2377,0.177
10.0,20.0,10.0,0.8,3.0,0.7468,0.2346,0.177
4.0,1400.0,6.0,0.07,2.0,0.8802,0.2278,0.1657
4.0,1000.0,4.0,0.4,3.0,0.8845,0.2226,0.177
4.0,1200.0,6.0,0.07,2.0,0.8759,0.2215,0.1657
6.0,20.0,4.0,0.15,3.0,0.6479,0.217,0.177
10.0,700.0,2.0,0.05,1.0,0.8299,0.211,0.3127
4.0,500.0,2.0,0.11,2.0,0.8638,0.1913,0.1657
6.0,800.0,4.0,0.15,2.0,0.8862,0.1895,0.1657
10.0,20.0,2.0,0.11,3.0,0.611,0.1877,0.177
8.0,300.0,6.0,0.13,2.0,0.8488,0.1856,0.1657
6.0,200.0,4.0,0.05,1.0,0.7265,0.1821,0.3127
4.0,600.0,15.0,0.03,1.0,0.7717,0.1744,0.3127
10.0,600.0,2.0,0.03,1.0,0.7802,0.1652,0.3127
4.0,1000.0,15.0,0.4,2.0,0.8976,0.1642,0.1657
6.0,200.0,6.0,0.11,1.0,0.7944,0.16,0.3127
8.0,400.0,10.0,0.05,2.0,0.799,0.1567,0.1657
6.0,1000.0,4.0,0.4,3.0,0.8846,0.1507,0.177
6.0,200.0,2.0,0.03,2.0,0.7152,0.1505,0.1657
10.0,200.0,2.0,0.05,2.0,0.7425,0.1457,0.1657
4.0,300.0,4.0,0.13,1.0,0.8361,0.1313,0.3127
8.0,300.0,6.0,0.2,2.0,0.8658,0.1293,0.1657
8.0,800.0,6.0,0.09,1.0,0.8628,0.1243,0.3127
8.0,1400.0,15.0,0.4,2.0,0.9001,0.1237,0.1657
8.0,100.0,10.0,0.8,2.0,0.8622,0.1234,0.1657
4.0,20.0,15.0,0.4,1.0,0.6885,0.1216,0.3127
8.0,600.0,4.0,0.2,1.0,0.8757,0.1204,0.3127
4.0,100.0,10.0,0.2,1.0,0.7891,0.1155,0.3127
8.0,1400.0,2.0,0.01,2.0,0.7708,0.1117,0.1657
6.0,20.0,4.0,0.01,2.0,0.1573,0.1054,0.1657
10.0,900.0,4.0,0.2,1.0,0.8834,0.097,0.3127
10.0,500.0,10.0,0.09,2.0,0.8522,0.0925,0.1657
6.0,700.0,6.0,0.6,1.0,0.8905,0.0888,0.3127
10.0,20.0,10.0,0.8,1.0,0.7387,0.0628,0.3127
8.0,200.0,15.0,0.13,2.0,0.8138,0.0575,0.1657
6.0,300.0,15.0,0.8,1.0,0.8792,0.0315,0.3127
10.0,1000.0,10.0,0.2,1.0,0.8835,0.0082,0.3127
6.0,600.0,2.0,0.4,2.0,0.8945,-0.0867,0.1657
10.0,500.0,6.0,0.6,2.0,0.8952,-0.0915,0.1657
