leaves,trees,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
4,1400,0.13,2,0.8035,0.6292,0.1893
4,1400,0.05,2,0.8006,0.6334,0.1893
4,300,0.11,2,0.7915,0.6491,0.1893
8,100,0.15,2,0.7676,0.6245,0.1893
6,500,0.2,3,0.7966,0.7238,0.0872
6,300,0.4,2,0.803,0.6258,0.1893
4,1200,0.6,2,0.8039,0.605,0.1893
10,100,0.13,1,0.8089,-0.7436,0.214
6,700,0.07,2,0.7971,0.6372,0.1893
10,600,0.13,1,0.837,-1.2994,0.214
6,1000,0.6,3,0.7982,0.6926,0.0872
6,100,0.07,2,0.7457,0.6059,0.1893
4,400,0.07,1,0.8258,-0.9686,0.214
4,1400,0.11,2,0.8033,0.6241,0.1893
6,400,0.09,2,0.7936,0.6409,0.1893
4,1000,0.6,1,0.8393,-1.6081,0.214
6,400,0.11,2,0.7966,0.6354,0.1893
8,500,0.11,1,0.8353,-1.2137,0.214
10,500,0.13,2,0.8,0.635,0.1893
10,200,0.8,1,0.8387,-1.4902,0.214
10,500,0.03,1,0.8126,-0.7833,0.214
10,1000,0.11,3,0.7965,0.7278,0.0872
4,400,0.05,2,0.7802,0.6402,0.1893
4,500,0.13,2,0.7998,0.6417,0.1893
6,500,0.11,3,0.7934,0.7164,0.0872
6,1200,0.8,1,0.8393,-1.7111,0.214
10,700,0.15,1,0.8381,-1.301,0.214
6,200,0.4,3,0.7958,0.7323,0.0872
10,800,0.01,1,0.7954,-0.7294,0.214
10,300,0.8,1,0.8391,-1.5892,0.214
8,1400,0.2,1,0.8392,-1.5492,0.214
6,900,0.4,3,0.7981,0.7355,0.0872
6,200,0.01,3,0.6872,0.6442,0.0872
10,300,0.11,2,0.792,0.643,0.1893
8,1200,0.8,1,0.8393,-1.6042,0.214
6,200,0.07,3,0.7692,0.7138,0.0872
4,700,0.15,2,0.8026,0.6348,0.1893
4,700,0.07,1,0.8342,-1.1711,0.214
10,700,0.2,3,0.797,0.7298,0.0872
4,600,0.03,3,0.7757,0.7164,0.0872
10,600,0.8,2,0.8038,0.5931,0.1893
4,900,0.6,2,0.8039,0.6049,0.1893
6,600,0.6,1,0.8392,-1.5922,0.214
6,100,0.8,3,0.7959,0.6448,0.0872
8,200,0.8,2,0.8031,0.615,0.1893
8,500,0.2,3,0.7966,0.7367,0.0872
6,1200,0.4,2,0.8038,0.6228,0.1893
4,1000,0.03,1,0.8267,-0.9506,0.214
10,1400,0.09,2,0.8028,0.6256,0.1893
8,500,0.15,1,0.8369,-1.2149,0.214
