leaves,trees,state,learn_rate,accuracy_train,accuracy_test,actual_split_size
4.0,900.0,2.0,0.4,0.8785961498629138,0.8683395924099426,0.1828
4.0,900.0,2.0,0.2,0.8739562309594634,0.8639139450203547,0.1826
9.0,250.0,3.0,0.7,0.872875827323959,0.8631750358949566,0.181
10.0,900.0,2.0,0.11,0.8665070318016603,0.8626352338810006,0.1839
8.0,700.0,1.0,0.14,0.8665885003345553,0.8600237563150462,0.1828
8.0,250.0,1.0,0.4,0.8698309040458087,0.8574070666038494,0.1804
9.0,350.0,2.0,0.14,0.8519061583728195,0.8463585592313112,0.1802
9.0,250.0,2.0,0.13,0.8360927330072982,0.8305732210403509,0.1818
4.0,600.0,2.0,0.04,0.8218215662568978,0.8211744450585237,0.1852
5.0,200.0,1.0,0.12,0.8227288127943725,0.8123031231060053,0.1809
7.0,40.0,2.0,0.5,0.8160805502554385,0.8111115568849284,0.1813
10.0,150.0,2.0,0.13,0.8075963124232899,0.8024363190677394,0.1821
8.0,1000.0,3.0,0.02,0.8073948440262868,0.7959209072992838,0.1815
5.0,200.0,3.0,0.09,0.8014211553523549,0.7911167949542961,0.1836
6.0,350.0,3.0,0.04,0.7815488987431282,0.7900300021531701,0.1804
7.0,800.0,3.0,0.01,0.7453119925844129,0.7484050696952242,0.1824
9.0,350.0,3.0,0.01,0.6993224392802896,0.6989643063362108,0.181
9.0,300.0,2.0,0.01,0.6879275869212425,0.6839167200671706,0.1832
7.0,300.0,2.0,0.01,0.6868325008277455,0.683146770233596,0.1818
7.0,20.0,2.0,0.08,0.6122626266691572,0.6073991461075987,0.1825
