min_CNLs,accuracy_train,accuracy_test
1,0.858024962871695,0.08435078683689834
2,0.8647894652344861,0.37819792827653576
3,0.8615813269631494,-1.022724312536747
4,0.8440925698909278,-0.21787650433241912
5,0.8954386095427408,-0.2668984839355997
6,0.930699583418895,-0.3594746420580217
7,0.8403750720778206,0.6292484282131863
8,0.8461145899371944,0.35901493719024813
9,0.8464354368241578,0.3152112814351502
10,0.8306035295014511,-0.6311954593640783
11,0.7928996414311107,-3.67013379445099
12,0.7297441602748367,0.27405425417618356
