leaves,trees,state,accuracy_train,accuracy_test
4.0,150.0,1.0,0.8579969403304448,0.8024533702022159
4.0,700.0,3.0,0.8566082259111855,0.8020251439730219
4.0,600.0,3.0,0.8565875454706201,0.8019698528953456
4.0,800.0,1.0,0.8583421040039735,0.8018900825343904
4.0,900.0,1.0,0.8582491894167131,0.801797896883107
4.0,400.0,3.0,0.8564824754466671,0.8017493772744909
4.0,500.0,3.0,0.8565259800065728,0.8016857196685825
4.0,150.0,2.0,0.8586229397083585,0.798086147135201
4.0,250.0,2.0,0.858746034957737,0.7980311567345935
4.0,600.0,2.0,0.8584953220395349,0.7979572866776086
4.0,500.0,2.0,0.8584126903035115,0.7978214199869458
4.0,400.0,2.0,0.858454475316458,0.7978093967832448
4.0,900.0,2.0,0.8584631501334814,0.7977227439049047
4.0,50.0,2.0,0.8582193921470486,0.7969083320327532
6.0,600.0,1.0,0.841036828043195,0.7961012417461117
6.0,300.0,3.0,0.8404757237187537,0.7925583014223901
6.0,200.0,3.0,0.8404531746387316,0.7925045208231614
6.0,150.0,3.0,0.8404891364287863,0.7922389578696232
6.0,1000.0,3.0,0.8402537565921624,0.7920421568236492
6.0,900.0,2.0,0.8415054523014773,0.7918880768425335
6.0,250.0,2.0,0.8416474441575733,0.7918475945149203
6.0,250.0,2.0,0.8416474441575733,0.7918475945149202
6.0,50.0,3.0,0.8403213349994473,0.7907166701193056
8.0,1000.0,1.0,0.8282534614185435,0.7901973486067017
8.0,150.0,1.0,0.8277689980980747,0.7899873760310917
8.0,150.0,1.0,0.8277689980980747,0.7899873760310917
8.0,400.0,1.0,0.828041164407457,0.7899254479928766
8.0,200.0,1.0,0.8275936742306502,0.7895503998514335
8.0,600.0,2.0,0.8287783275637081,0.7865662623743822
8.0,800.0,2.0,0.828849104486446,0.786381191376992
8.0,1000.0,2.0,0.828903530449138,0.786301661735428
8.0,1000.0,2.0,0.828903530449138,0.786301661735428
8.0,400.0,2.0,0.8288137297297486,0.7862999359859006
8.0,350.0,2.0,0.828820827240781,0.7862918226935782
8.0,100.0,2.0,0.8277772631177664,0.7862088952606956
8.0,500.0,2.0,0.828736438908571,0.7861998976138278
8.0,300.0,2.0,0.8289335275513616,0.7859627339759936
8.0,250.0,2.0,0.8286458416582321,0.78546991295255
8.0,250.0,2.0,0.8286458416582321,0.78546991295255
10.0,100.0,1.0,0.8172106080016586,0.7849876328049583
10.0,250.0,1.0,0.8174145546937399,0.7840110294994657
10.0,1000.0,1.0,0.8179029153273069,0.7836834378215535
10.0,700.0,1.0,0.8178068806868919,0.7834344458183964
10.0,600.0,3.0,0.8181430658513923,0.7805949360993842
10.0,800.0,3.0,0.8182413797713197,0.780543581540009
10.0,300.0,3.0,0.8180797701987164,0.7799573063332291
10.0,200.0,3.0,0.8173180214070598,0.7792562647977611
10.0,50.0,3.0,0.8152236917724145,0.7786162126697993
10.0,1000.0,2.0,0.8185562549344032,0.7783159452501436
10.0,50.0,2.0,0.8167522721648267,0.7751504511207316
